round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,EAHM-FL,0.1,43,0.138,2.5984329544067384,"3,9,6",2.144518863501966,10.780903100967407,9.989738464355469e-05,0.008811235427856445,1.957258701324463,8006136.0,8006136.0,0.215689216,0.0,0.0,0.001,0.0,0.0,0.0,0.999,0.035,0.345,0.0
2,EAHM-FL,0.1,43,0.1546,2.4054009700775145,"8,5,1",1.962768874812414,14.319671392440796,0.00015997886657714844,0.008994340896606445,2.7138970692952475,16012272.0,16012272.0,0.218367488,0.0,0.0,0.547,0.029,0.0,0.0,0.0,0.0,0.97,0.0
3,EAHM-FL,0.1,43,0.2733,3.373578092956543,"8,7,1",1.3396604270907877,24.03502130508423,0.00010848045349121094,0.008686542510986328,4.749417304992676,24018408.0,24018408.0,0.218367488,0.82,0.618,0.0,0.0,0.901,0.0,0.0,0.0,0.0,0.394
4,EAHM-FL,0.1,43,0.2044,4.061322496795654,"6,3,5",4.570516732648199,12.0916428565979,0.00014281272888183594,0.008649349212646484,2.2307653427124023,32024544.0,32024544.0,0.218367488,0.0,0.0,0.916,0.0,0.0,0.0,0.0,0.0,0.894,0.234
5,EAHM-FL,0.1,43,0.1626,3.1247276206970214,"0,4,2",4.020472799682531,7.509155035018921,0.00018858909606933594,0.009044170379638672,1.2499596277872722,40030680.0,40030680.0,0.218367488,0.633,0.0,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.0
6,EAHM-FL,0.1,43,0.1912,3.6758043502807616,"6,5,2",1.553452941628187,11.082760095596313,9.202957153320312e-05,0.01065206527709961,2.0150254567464194,48036816.0,48036816.0,0.218367488,0.0,0.0,0.968,0.0,0.0,0.0,0.0,0.0,0.807,0.137
7,EAHM-FL,0.1,43,0.2304,2.8734772789001464,"6,2,5",3.1222633880728505,10.904768228530884,8.988380432128906e-05,0.010527610778808594,1.9911449750264485,56042952.0,56042952.0,0.218367488,0.082,0.0,0.024,0.0,0.0,0.993,0.0,0.0,0.691,0.514
8,EAHM-FL,0.1,43,0.225,3.1812685081481935,"5,6,2",0.9244905894942325,10.958014726638794,9.775161743164062e-05,0.010988473892211914,1.9611341158548992,64049088.0,64049088.0,0.218367488,0.001,0.0,0.974,0.0,0.0,0.0,0.0,0.0,0.826,0.449
9,EAHM-FL,0.1,43,0.2218,3.418349658584595,"6,5,2",2.2927627485704325,10.887534856796265,0.00011968612670898438,0.010741710662841797,1.931715965270996,72055224.0,72055224.0,0.218367488,0.104,0.0,0.022,0.0,0.0,0.998,0.0,0.0,0.638,0.456
10,EAHM-FL,0.1,43,0.2164,3.639047404098511,"5,6,2",1.0310450556115478,10.828017711639404,0.0001990795135498047,0.010208845138549805,1.9533928235371907,80061360.0,80061360.0,0.218367488,0.0,0.0,0.988,0.0,0.0,0.0,0.0,0.0,0.76,0.416
11,EAHM-FL,0.1,43,0.2263,3.3125044467926026,"6,5,2",2.6704984724847907,10.824011325836182,9.560585021972656e-05,0.0103912353515625,1.9759055773417156,88067496.0,88067496.0,0.218367488,0.249,0.0,0.001,0.0,0.0,0.998,0.0,0.0,0.606,0.409
12,EAHM-FL,0.1,43,0.1674,3.0018266151428223,"4,6,2",1.6712722932812796,7.843277215957642,0.00015115737915039062,0.01055455207824707,1.312423308690389,96073632.0,96073632.0,0.218367488,0.522,0.0,0.0,0.985,0.0,0.012,0.0,0.0,0.014,0.141
13,EAHM-FL,0.1,43,0.157,5.256327723693848,"6,2,4",1.8386300136564955,7.876492023468018,9.465217590332031e-05,0.010171175003051758,1.328363577524821,104079768.0,104079768.0,0.218367488,0.563,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.009
14,EAHM-FL,0.1,43,0.1428,3.3873709030151367,"6,4,2",3.377710626391259,7.78027606010437,0.0001068115234375,0.009869098663330078,1.3115305105845134,112085904.0,112085904.0,0.218367488,0.43,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0
15,EAHM-FL,0.1,43,0.163,4.156168493652344,"6,2,4",3.5029775275599047,7.903257131576538,8.344650268554688e-05,0.010253429412841797,1.3207947413126628,120092040.0,120092040.0,0.218367488,0.632,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.0
16,EAHM-FL,0.1,43,0.1296,3.695777460861206,"6,2,4",2.0170874274892863,7.78815770149231,8.249282836914062e-05,0.010196685791015625,1.3128821849822998,128098176.0,128098176.0,0.218367488,0.296,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,EAHM-FL,0.1,43,0.1307,4.391716471099853,"6,2,4",3.69553088724134,7.850390195846558,0.00020647048950195312,0.010618209838867188,1.3150710264841716,136104312.0,136104312.0,0.218367488,0.307,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,EAHM-FL,0.1,43,0.105,4.685056817245483,"2,6,4",2.128910340895313,7.810999155044556,9.989738464355469e-05,0.01002192497253418,1.311572551727295,144110448.0,144110448.0,0.218367488,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,EAHM-FL,0.1,43,0.144,4.3996653060913085,"2,6,4",4.542367027494479,7.74307656288147,0.00018715858459472656,0.010395050048828125,1.316255807876587,152116584.0,152116584.0,0.218367488,0.441,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,0.0
20,EAHM-FL,0.1,43,0.1313,3.5287327793121337,"2,6,4",1.6850109454697482,7.80539608001709,9.584426879882812e-05,0.010377645492553711,1.3168171246846516,160122720.0,160122720.0,0.218367488,0.315,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0
21,EAHM-FL,0.1,43,0.1414,4.159066493988037,"2,6,4",2.4457033540364272,7.953110218048096,0.00014638900756835938,0.010779857635498047,1.3336920738220215,168128856.0,168128856.0,0.218367488,0.414,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,EAHM-FL,0.1,43,0.1296,3.2542751953125,"2,6,4",1.7242706164342827,7.930483341217041,8.678436279296875e-05,0.010281562805175781,1.35060715675354,176134992.0,176134992.0,0.218367488,0.293,0.0,0.0,0.984,0.0,0.019,0.0,0.0,0.0,0.0
23,EAHM-FL,0.1,43,0.1325,3.9931927360534667,"2,6,4",2.215563183916823,7.849867582321167,8.702278137207031e-05,0.010294914245605469,1.3112513224283855,184141128.0,184141128.0,0.218367488,0.325,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,EAHM-FL,0.1,43,0.1228,3.695951272201538,"2,6,4",1.5662307630544585,7.714468955993652,0.0002446174621582031,0.012302398681640625,1.2949888706207275,192147264.0,192147264.0,0.218367488,0.228,0.0,0.0,0.999,0.0,0.001,0.0,0.0,0.0,0.0
25,EAHM-FL,0.1,43,0.1422,4.479878334808349,"2,6,4",2.615871970959812,7.91876220703125,9.322166442871094e-05,0.010151147842407227,1.3392306963602703,200153400.0,200153400.0,0.218367488,0.422,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,EAHM-FL,0.1,43,0.128,3.766303532409668,"2,6,4",1.687866934221706,7.7743449211120605,8.296966552734375e-05,0.01059579849243164,1.297465403874715,208159536.0,208159536.0,0.218367488,0.281,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0
27,EAHM-FL,0.1,43,0.144,4.52548014831543,"2,6,4",2.6475872808724863,7.85666823387146,0.00019979476928710938,0.010863780975341797,1.3545969327290852,216165672.0,216165672.0,0.218367488,0.441,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,0.0
28,EAHM-FL,0.1,43,0.1235,3.391989989852905,"2,6,4",1.74009912815504,7.899008750915527,8.821487426757812e-05,0.01023244857788086,1.3175451755523682,224171808.0,224171808.0,0.218367488,0.235,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,EAHM-FL,0.1,43,0.1526,4.473606958770752,"2,6,4",1.893327512160158,7.89672064781189,8.535385131835938e-05,0.010251283645629883,1.355732520421346,232177944.0,232177944.0,0.218367488,0.528,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.0
30,EAHM-FL,0.1,43,0.1258,3.510806187057495,"2,6,4",1.6929436871175871,7.9868810176849365,9.322166442871094e-05,0.010651826858520508,1.352973461151123,240184080.0,240184080.0,0.218367488,0.26,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0
31,EAHM-FL,0.1,43,0.2625,3.8887663551330567,"6,5,4",2.2553678513172852,10.224809885025024,0.00015020370483398438,0.010559797286987305,1.8524943192799885,248190216.0,248190216.0,0.218367488,0.0,0.0,0.498,0.884,0.0,0.0,0.0,0.0,0.732,0.511
32,EAHM-FL,0.1,43,0.2399,3.5817653232574465,"6,5,4",2.3321159445845665,10.076185703277588,9.107589721679688e-05,0.010839223861694336,1.8075740337371826,256196352.0,256196352.0,0.218367488,0.0,0.0,0.037,0.975,0.0,0.0,0.0,0.0,0.778,0.609
33,EAHM-FL,0.1,43,0.2783,3.213321383666992,"5,4,6",1.8820566155326262,10.169306516647339,8.845329284667969e-05,0.010879755020141602,1.8030202388763428,264202488.0,264202488.0,0.218367488,0.0,0.0,0.523,0.866,0.0,0.0,0.0,0.0,0.738,0.656
34,EAHM-FL,0.1,43,0.2737,3.2691966163635255,"5,4,6",1.3412111919169056,10.196563720703125,9.059906005859375e-05,0.010986089706420898,1.8181436856587727,272208624.0,272208624.0,0.218367488,0.0,0.0,0.305,0.944,0.0,0.0,0.0,0.0,0.802,0.686
35,EAHM-FL,0.1,43,0.1644,2.6886229347229005,"9,2,6",3.411605688288013,9.745721101760864,9.989738464355469e-05,0.010764360427856445,1.7040805021921794,280214760.0,280214760.0,0.218367488,0.0,0.0,0.0,0.0,0.0,0.267,0.0,0.805,0.534,0.038
36,EAHM-FL,0.1,43,0.1465,3.820981586456299,"2,9,6",1.1017545903579324,9.815695524215698,9.012222290039062e-05,0.010491132736206055,1.7292768160502117,288220896.0,288220896.0,0.218367488,0.424,0.0,0.0,0.0,0.0,0.995,0.0,0.0,0.0,0.046
37,EAHM-FL,0.1,43,0.1348,4.659645816040039,"2,9,6",1.5003813780606725,9.762675762176514,9.107589721679688e-05,0.010614395141601562,1.7099582354227703,296227032.0,296227032.0,0.218367488,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.001,0.0
38,EAHM-FL,0.1,43,0.1245,2.8059687294006346,"4,6,9",5.120477117617587,9.124142169952393,8.58306884765625e-05,0.010833263397216797,1.579388936360677,304233168.0,304233168.0,0.218367488,0.002,0.0,0.0,0.998,0.0,0.0,0.0,0.008,0.166,0.071
39,EAHM-FL,0.1,43,0.1009,3.518954044342041,"9,4,6",1.6313099010529084,8.97907304763794,0.00010848045349121094,0.010777711868286133,1.5580728848775227,312239304.0,312239304.0,0.218367488,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.998,0.007,0.0
40,EAHM-FL,0.1,43,0.1136,2.8705360385894774,"9,4,6",2.393307185875457,8.910112619400024,0.00011420249938964844,0.011371135711669922,1.5310848553975422,320245440.0,320245440.0,0.218367488,0.018,0.0,0.0,0.998,0.0,0.0,0.0,0.014,0.072,0.034
41,EAHM-FL,0.1,43,0.1042,3.07516943321228,"9,4,6",1.590233651531707,8.997077941894531,0.0001404285430908203,0.010634899139404297,1.5496901671091716,328251576.0,328251576.0,0.218367488,0.001,0.0,0.0,0.025,0.0,0.0,0.0,0.99,0.026,0.0
42,EAHM-FL,0.1,43,0.1067,2.881973979187012,"9,4,6",1.8255326077209826,8.937016487121582,8.535385131835938e-05,0.010643959045410156,1.5646107991536458,336257712.0,336257712.0,0.218367488,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.035,0.027,0.005
43,EAHM-FL,0.1,43,0.2695,2.937193988418579,"5,4,6",1.6725951437865672,10.123751401901245,0.00015616416931152344,0.010289669036865234,1.815175453821818,344263848.0,344263848.0,0.218367488,0.0,0.0,0.92,0.358,0.0,0.0,0.0,0.0,0.889,0.528
44,EAHM-FL,0.1,43,0.2574,2.8378143058776857,"5,4,6",1.5776018491976274,10.236919403076172,9.655952453613281e-05,0.011087656021118164,1.8410251935323079,352269984.0,352269984.0,0.218367488,0.0,0.0,0.125,0.965,0.0,0.0,0.0,0.0,0.784,0.7
45,EAHM-FL,0.1,43,0.1377,3.6507445373535155,"2,4,6",2.162261687706892,7.900440454483032,0.00014638900756835938,0.01048898696899414,1.3286712964375813,360276120.0,360276120.0,0.218367488,0.188,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.189
46,EAHM-FL,0.1,43,0.2891,2.66771361618042,"3,2,6",1.5838733794736075,10.22761845588684,0.00013709068298339844,0.010867595672607422,1.8084644476572673,368282256.0,368282256.0,0.218367488,0.0,0.0,0.385,0.0,0.0,0.004,0.932,0.0,0.888,0.682
47,EAHM-FL,0.1,43,0.239,3.0914149055480955,"2,6,3",2.2045848001599615,10.873146295547485,0.00010561943054199219,0.012201070785522461,1.9334117571512859,376288392.0,376288392.0,0.218367488,0.106,0.0,0.006,0.0,0.0,0.995,0.0,0.0,0.766,0.517
48,EAHM-FL,0.1,43,0.276,3.0707390937805177,"2,3,6",1.0956925189643878,10.76903772354126,9.489059448242188e-05,0.011418342590332031,1.911434014638265,384294528.0,384294528.0,0.218367488,0.0,0.0,0.288,0.0,0.0,0.002,0.974,0.0,0.888,0.608
