round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,EAHM-FL,0.1,42,0.1539,2.3639515800476074,"8,1,5",1.627939531333691,20.081161499023438,7.796287536621094e-05,0.008475303649902344,3.9795003732045493,8006136.0,8006136.0,0.215689216,0.0,0.0,0.264,0.0,0.0,0.0,0.926,0.0,0.349,0.0
2,EAHM-FL,0.1,42,0.1754,2.2367895931243895,"0,1,8",1.3745916800139042,23.646918058395386,0.00015115737915039062,0.010288715362548828,4.778496424357097,16012272.0,16012272.0,0.218367488,0.0,0.0,0.958,0.039,0.005,0.0,0.099,0.001,0.0,0.652
3,EAHM-FL,0.1,42,0.2283,2.881568574523926,"9,2,0",1.3380607506093656,13.611774444580078,0.00010800361633300781,0.009508609771728516,2.569324493408203,24018408.0,24018408.0,0.218367488,0.0,0.0,0.488,0.893,0.0,0.0,0.0,0.254,0.0,0.648
4,EAHM-FL,0.1,42,0.1252,2.186449398803711,"1,7,6",2.7401524026149766,14.041638612747192,0.00014734268188476562,0.009444713592529297,2.672189553578695,32024544.0,32024544.0,0.218367488,0.0,0.005,0.002,0.084,0.972,0.098,0.037,0.034,0.006,0.014
5,EAHM-FL,0.1,42,0.171,2.8331431728363037,"7,4,3",2.438664550117441,8.670743465423584,0.003053903579711914,0.008880853652954102,1.4818746248881023,40030680.0,40030680.0,0.218367488,0.956,0.0,0.002,0.0,0.0,0.752,0.0,0.0,0.0,0.0
6,EAHM-FL,0.1,42,0.121,3.861401086425781,"4,6,7",1.6791753783228751,11.363415241241455,0.00022864341735839844,0.009150981903076172,2.092017412185669,48036816.0,48036816.0,0.218367488,0.0,0.079,0.0,0.0,0.0,0.998,0.0,0.133,0.0,0.0
7,EAHM-FL,0.1,42,0.2778,2.076961793518066,"3,6,7",2.072008295275777,9.477910041809082,8.249282836914062e-05,0.015001296997070312,1.6597433884938557,56042952.0,56042952.0,0.218367488,0.617,0.791,0.0,0.0,0.0,0.598,0.608,0.164,0.0,0.0
8,EAHM-FL,0.1,42,0.1683,2.897700469970703,"1,3,7",1.177136653849716,12.448777437210083,0.0001876354217529297,0.011584281921386719,2.282105048497518,64049088.0,64049088.0,0.218367488,0.0,0.0,0.0,0.094,0.799,0.0,0.79,0.0,0.0,0.0
9,EAHM-FL,0.1,42,0.2341,2.1441976161956786,"1,3,7",2.1953454137058652,12.068587064743042,0.0001785755157470703,0.009965896606445312,2.160630702972412,72055224.0,72055224.0,0.218367488,0.034,0.908,0.0,0.16,0.403,0.0,0.836,0.0,0.0,0.0
10,EAHM-FL,0.1,42,0.2193,2.63122131690979,"5,3,7",1.4987884046210862,9.282037496566772,0.0001952648162841797,0.00958704948425293,1.6101681391398113,80061360.0,80061360.0,0.218367488,0.001,0.0,0.072,0.038,0.342,0.016,0.741,0.0,0.983,0.0
11,EAHM-FL,0.1,42,0.1801,2.9350314113616944,"5,3,7",2.379489999256937,9.15960431098938,0.00021028518676757812,0.011323213577270508,1.5462874571482341,88067496.0,88067496.0,0.218367488,0.072,0.763,0.023,0.001,0.0,0.001,0.941,0.0,0.0,0.0
12,EAHM-FL,0.1,42,0.2372,2.2494580295562745,"9,7,3",1.7189064440703905,6.381246566772461,0.00013017654418945312,0.00976252555847168,0.9810020923614502,96073632.0,96073632.0,0.218367488,0.616,0.0,0.021,0.0,0.0,0.301,0.932,0.0,0.0,0.502
13,EAHM-FL,0.1,42,0.2217,2.842238782119751,"9,7,3",1.420111150058582,6.254988431930542,0.00011897087097167969,0.011028051376342773,0.9672165711720785,104079768.0,104079768.0,0.218367488,0.031,0.939,0.0,0.0,0.0,0.319,0.928,0.0,0.0,0.0
14,EAHM-FL,0.1,42,0.232,2.345888788604736,"9,3,7",1.6543549522141703,6.133656740188599,0.000148773193359375,0.01032257080078125,0.9306762218475342,112085904.0,112085904.0,0.218367488,0.912,0.0,0.13,0.0,0.0,0.401,0.877,0.0,0.0,0.0
15,EAHM-FL,0.1,42,0.2241,2.7285791206359864,"7,9,3",1.3102703125908475,5.790378093719482,0.00012373924255371094,0.009984970092773438,0.8785027662913004,120092040.0,120092040.0,0.218367488,0.05,0.935,0.074,0.0,0.0,0.279,0.903,0.0,0.0,0.0
