round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,FedAvg,0.1,45,0.2015,2.4692247016906737,"2,4,1",1.6872835649268565,17.953880310058594,7.390975952148438e-05,0.00895380973815918,3.5213325023651123,8006136.0,8006136.0,0.215689216,0.0,0.003,0.703,0.0,0.0,0.598,0.0,0.076,0.635,0.0
2,FedAvg,0.1,45,0.2727,2.790477488708496,"3,2,4",1.6496574443631322,16.99030900001526,0.0001201629638671875,0.008797883987426758,3.3044029076894126,16012272.0,16012272.0,0.218367488,0.0,0.0,0.415,0.0,0.0,0.77,0.0,0.568,0.974,0.0
3,FedAvg,0.1,45,0.2086,2.2203755699157717,"9,3,7",2.7274715518604378,12.749168872833252,0.00011157989501953125,0.008785486221313477,2.3891088167826333,24018408.0,24018408.0,0.218367488,0.698,0.064,0.45,0.871,0.003,0.0,0.0,0.0,0.0,0.0
4,FedAvg,0.1,45,0.2604,1.8796763584136962,"5,8,7",1.6209308817991506,12.195442914962769,0.00018930435180664062,0.009450197219848633,2.2392355600992837,32024544.0,32024544.0,0.218367488,0.595,0.039,0.866,0.04,0.0,0.09,0.005,0.127,0.13,0.712
5,FedAvg,0.1,45,0.3047,2.344395558929443,"3,7,2",1.2403309707751922,10.510965585708618,0.00017452239990234375,0.008946418762207031,1.9076693058013916,40030680.0,40030680.0,0.218367488,0.829,0.605,0.145,0.413,0.0,0.619,0.418,0.014,0.0,0.004
6,FedAvg,0.1,45,0.3596,1.8344987266540527,"4,6,1",1.4253927350793136,22.83681011199951,0.00014019012451171875,0.008567094802856445,4.566491365432739,48036816.0,48036816.0,0.218367488,0.324,0.753,0.196,0.0,0.777,0.415,0.049,0.524,0.546,0.012
7,FedAvg,0.1,45,0.2772,2.2410388416290283,"2,7,3",1.5587765031374186,10.442897081375122,0.00018262863159179688,0.009880304336547852,1.8769468466440837,56042952.0,56042952.0,0.218367488,0.802,0.822,0.225,0.017,0.0,0.884,0.0,0.02,0.0,0.002
8,FedAvg,0.1,45,0.25,2.1937283958435057,"2,9,8",2.0732669459245487,10.275108575820923,0.00016236305236816406,0.008693218231201172,1.8503371874491374,64049088.0,64049088.0,0.218367488,0.627,0.0,0.003,0.867,0.416,0.0,0.559,0.0,0.028,0.0
9,FedAvg,0.1,45,0.2826,2.167316791343689,"0,5,7",2.279634624339838,11.754554986953735,0.0001277923583984375,0.014612674713134766,2.137573003768921,72055224.0,72055224.0,0.218367488,0.028,0.452,0.934,0.0,0.0,0.183,0.01,0.218,0.232,0.769
10,FedAvg,0.1,45,0.3291,2.2025489749908447,"6,3,0",1.4707619596434052,12.520924806594849,0.00011968612670898438,0.008677005767822266,2.3447028001149497,80061360.0,80061360.0,0.218367488,0.728,0.542,0.0,0.0,0.376,0.008,0.966,0.0,0.0,0.671
