round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,EAHM-FL,0.5,44,0.1348,2.2192946315765383,"2,7,9",1.0990604218568405,12.405796527862549,7.605552673339844e-05,0.009026288986206055,2.302534262339274,8006136.0,8006136.0,0.215689216,0.001,0.0,0.0,0.0,0.969,0.0,0.0,0.0,0.378,0.0
2,EAHM-FL,0.5,44,0.2066,2.103398191833496,"0,5,2",1.1577837277537013,10.889961242675781,0.0001842975616455078,0.008813858032226562,1.9621015389760335,16012272.0,16012272.0,0.218367488,0.247,0.0,0.001,0.018,0.0,0.0,0.988,0.013,0.586,0.213
3,EAHM-FL,0.5,44,0.2273,2.0914283031463623,"2,7,8",0.8464656077283763,13.786170482635498,0.00012087821960449219,0.009217262268066406,2.623880386352539,24018408.0,24018408.0,0.218367488,0.002,0.0,0.005,0.0,0.908,0.209,0.172,0.0,0.802,0.175
4,EAHM-FL,0.5,44,0.2934,1.9072015830993652,"9,7,6",1.0136421364330506,12.383357048034668,0.0001227855682373047,0.009346485137939453,2.306342363357544,32024544.0,32024544.0,0.218367488,0.566,0.058,0.0,0.001,0.685,0.699,0.17,0.282,0.46,0.013
5,EAHM-FL,0.5,44,0.325,1.7931185037612916,"1,4,3",1.106675002293457,19.522559642791748,0.00019931793212890625,0.008758068084716797,3.870887835820516,40030680.0,40030680.0,0.218367488,0.174,0.217,0.792,0.278,0.0,0.0,0.153,0.584,0.609,0.443
6,EAHM-FL,0.5,44,0.3554,1.8229422332763672,"5,1,9",0.797365432928598,14.754421472549438,0.00020956993103027344,0.009057044982910156,2.7775030930836997,48036816.0,48036816.0,0.218367488,0.669,0.851,0.528,0.004,0.003,0.0,0.734,0.76,0.003,0.002
7,EAHM-FL,0.5,44,0.3292,1.7131117992401124,"1,0,9",0.9275474524313566,14.717506885528564,0.00010251998901367188,0.009917974472045898,2.825242280960083,56042952.0,56042952.0,0.218367488,0.293,0.237,0.146,0.303,0.0,0.019,0.937,0.513,0.837,0.007
8,EAHM-FL,0.5,44,0.3655,1.7177864217758179,"5,9,0",0.7970509651236167,10.701267719268799,9.775161743164062e-05,0.00979757308959961,1.9636452198028564,64049088.0,64049088.0,0.218367488,0.475,0.02,0.029,0.037,0.0,0.666,0.887,0.601,0.69,0.25
9,EAHM-FL,0.5,44,0.381,1.6905335014343261,"5,9,0",0.5814380397100128,10.813992738723755,9.012222290039062e-05,0.010538578033447266,1.9607532024383545,72055224.0,72055224.0,0.218367488,0.505,0.056,0.021,0.106,0.0,0.571,0.915,0.615,0.66,0.361
10,EAHM-FL,0.5,44,0.3906,1.716218230819702,"5,9,0",0.5500066736201511,10.56731104850769,8.96453857421875e-05,0.010383367538452148,1.9069579442342122,80061360.0,80061360.0,0.218367488,0.469,0.109,0.024,0.015,0.0,0.672,0.904,0.63,0.738,0.345
