round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,EAHM-FL-no_selection,0.1,45,0.2015,2.4692247016906737,"2,4,1",1.6872835649268565,18.788933992385864,9.775161743164062e-05,0.00929713249206543,3.64786688486735,8006136.0,8006136.0,0.215689216,0.0,0.003,0.703,0.0,0.0,0.598,0.0,0.076,0.635,0.0
2,EAHM-FL-no_selection,0.1,45,0.2727,2.790477488708496,"3,2,4",1.6496574443631322,17.560374975204468,0.000125885009765625,0.009333610534667969,3.3361788590749106,16012272.0,16012272.0,0.218367488,0.0,0.0,0.415,0.0,0.0,0.77,0.0,0.568,0.974,0.0
3,EAHM-FL-no_selection,0.1,45,0.2086,2.2203755699157717,"9,3,7",2.7274715518604378,13.423798084259033,0.00018310546875,0.009200811386108398,2.461451689402262,24018408.0,24018408.0,0.218367488,0.698,0.064,0.45,0.871,0.003,0.0,0.0,0.0,0.0,0.0
4,EAHM-FL-no_selection,0.1,45,0.2604,1.8796763584136962,"5,8,7",1.6209308817991506,12.507411479949951,0.00011348724365234375,0.009256362915039062,2.2943525314331055,32024544.0,32024544.0,0.218367488,0.595,0.039,0.866,0.04,0.0,0.09,0.005,0.127,0.13,0.712
5,EAHM-FL-no_selection,0.1,45,0.2389,2.487902035522461,"3,7,2",1.2403309707751922,10.556322813034058,0.00015735626220703125,0.010527610778808594,1.9070247014363606,40030680.0,40030680.0,0.218367488,0.831,0.341,0.048,0.69,0.0,0.438,0.026,0.005,0.0,0.01
6,EAHM-FL-no_selection,0.1,45,0.3153,1.8770716297149659,"4,6,1",1.5442123424032725,23.159284591674805,0.00020766258239746094,0.009360551834106445,4.57593560218811,48036816.0,48036816.0,0.218367488,0.507,0.825,0.093,0.0,0.873,0.174,0.101,0.271,0.275,0.034
7,EAHM-FL-no_selection,0.1,45,0.2524,2.4913461109161377,"2,7,3",1.4519869412746296,10.500499486923218,0.00010895729064941406,0.010411262512207031,1.8943740526835124,56042952.0,56042952.0,0.218367488,0.859,0.54,0.0,0.344,0.0,0.728,0.0,0.031,0.0,0.022
8,EAHM-FL-no_selection,0.1,45,0.2592,2.065839002799988,"2,9,8",2.183409534435283,10.50840425491333,0.00014591217041015625,0.009592533111572266,1.867944320042928,64049088.0,64049088.0,0.218367488,0.556,0.001,0.0,0.783,0.574,0.0,0.583,0.004,0.091,0.0
9,EAHM-FL-no_selection,0.1,45,0.2816,1.9812604024887086,"0,5,7",2.0877446907658395,12.03799843788147,0.00014925003051757812,0.009591341018676758,2.209134658177694,72055224.0,72055224.0,0.218367488,0.017,0.422,0.964,0.0,0.0,0.052,0.113,0.255,0.221,0.772
10,EAHM-FL-no_selection,0.1,45,0.3255,1.999229440689087,"6,3,0",1.3258860931742256,12.801467180252075,0.00011229515075683594,0.010022878646850586,2.3979597091674805,80061360.0,80061360.0,0.218367488,0.726,0.436,0.0,0.016,0.328,0.006,0.967,0.01,0.0,0.766
11,EAHM-FL-no_selection,0.1,45,0.2806,2.2267761310577394,"0,1,8",1.5934828671647543,9.828274965286255,0.00017309188842773438,0.011335611343383789,1.7269997596740723,88067496.0,88067496.0,0.218367488,0.74,0.371,0.095,0.958,0.0,0.0,0.0,0.636,0.0,0.006
12,EAHM-FL-no_selection,0.1,45,0.3378,1.7119163730621338,"7,2,9",1.8744747181396744,12.901142835617065,0.00010776519775390625,0.010693550109863281,2.375192880630493,96073632.0,96073632.0,0.218367488,0.52,0.869,0.261,0.126,0.062,0.368,0.935,0.159,0.0,0.078
13,EAHM-FL-no_selection,0.1,45,0.4369,1.6096139822006226,"8,4,6",1.2199160447607156,22.64179277420044,0.00011372566223144531,0.010555028915405273,4.512130578358968,104079768.0,104079768.0,0.218367488,0.291,0.671,0.131,0.002,0.672,0.636,0.353,0.722,0.819,0.072
14,EAHM-FL-no_selection,0.1,45,0.4903,1.574898711013794,"4,0,6",0.8954104937382291,22.25749373435974,0.0001220703125,0.010941743850708008,4.451572815577189,112085904.0,112085904.0,0.218367488,0.287,0.815,0.44,0.0,0.646,0.541,0.577,0.613,0.721,0.263
15,EAHM-FL-no_selection,0.1,45,0.2908,2.0844700185775755,"3,5,8",2.097506350620149,10.137404203414917,0.00011014938354492188,0.010260581970214844,1.7940850257873535,120092040.0,120092040.0,0.218367488,0.735,0.031,0.0,0.974,0.0,0.0,0.0,0.211,0.441,0.516
16,EAHM-FL-no_selection,0.1,45,0.2652,1.9889934661865234,"0,9,8",1.4962257745900633,10.524358987808228,0.0001373291015625,0.010237932205200195,1.8854076067606609,128098176.0,128098176.0,0.218367488,0.21,0.046,0.316,0.546,0.892,0.0,0.422,0.011,0.118,0.091
17,EAHM-FL-no_selection,0.1,45,0.2963,1.91942509765625,"1,0,8",1.3080892697479722,10.016981363296509,0.0001513957977294922,0.010955333709716797,1.7583081722259521,136104312.0,136104312.0,0.218367488,0.893,0.289,0.078,0.904,0.0,0.0,0.0,0.578,0.001,0.22
18,EAHM-FL-no_selection,0.1,45,0.2992,2.1474308113098144,"5,0,6",1.831702951697478,14.342411041259766,0.00017213821411132812,0.010939598083496094,2.6939124266306558,144110448.0,144110448.0,0.218367488,0.068,0.069,0.056,0.002,0.527,0.0,0.993,0.183,0.148,0.946
19,EAHM-FL-no_selection,0.1,45,0.3865,1.8352100296020508,"6,1,0",1.6410484503714498,14.234637975692749,0.00011205673217773438,0.011289596557617188,2.6802234649658203,152116584.0,152116584.0,0.218367488,0.824,0.799,0.016,0.074,0.811,0.0,0.857,0.003,0.0,0.481
20,EAHM-FL-no_selection,0.1,45,0.39,1.9759916397094726,"6,1,2",1.010580350331713,14.384719133377075,0.00011038780212402344,0.011387825012207031,2.714589754740397,160122720.0,160122720.0,0.218367488,0.778,0.821,0.0,0.027,0.569,0.0,0.977,0.0,0.0,0.728
21,EAHM-FL-no_selection,0.1,45,0.3869,1.845184117126465,"5,4,3",1.9948522279029917,18.806139707565308,0.00019288063049316406,0.010663509368896484,3.695556322733561,168128856.0,168128856.0,0.218367488,0.02,0.463,0.597,0.0,0.0,0.879,0.022,0.727,0.921,0.24
22,EAHM-FL-no_selection,0.1,45,0.3757,2.1269268939971924,"9,6,3",2.381285433749666,15.3535737991333,0.0001685619354248047,0.01017904281616211,2.924133618672689,176134992.0,176134992.0,0.218367488,0.667,0.395,0.0,0.24,0.704,0.0,0.976,0.0,0.0,0.775
23,EAHM-FL-no_selection,0.1,45,0.3739,2.2041196380615236,"0,4,8",2.7784689891939522,17.658469200134277,0.0001354217529296875,0.010949134826660156,3.431144952774048,184141128.0,184141128.0,0.218367488,0.039,0.471,0.751,0.0,0.0,0.806,0.0,0.797,0.875,0.0
24,EAHM-FL-no_selection,0.1,45,0.4604,1.632833515739441,"5,2,7",1.6286984952320387,12.098591804504395,0.00011563301086425781,0.010607004165649414,2.2341810862223306,192147264.0,192147264.0,0.218367488,0.243,0.623,0.543,0.0,0.0,0.173,0.932,0.45,0.758,0.882
25,EAHM-FL-no_selection,0.1,45,0.5195,1.543947325515747,"4,0,6",0.9564801681494485,22.280656099319458,0.00011968612670898438,0.010282278060913086,4.435578187306722,200153400.0,200153400.0,0.218367488,0.248,0.781,0.731,0.0,0.492,0.719,0.56,0.734,0.81,0.12
26,EAHM-FL-no_selection,0.1,45,0.4798,1.5207755687713622,"1,8,4",1.5689090240774413,19.17959761619568,0.00011539459228515625,0.010874748229980469,3.7290294965108237,208159536.0,208159536.0,0.218367488,0.731,0.772,0.594,0.0,0.184,0.842,0.077,0.817,0.777,0.004
27,EAHM-FL-no_selection,0.1,45,0.4451,1.634861604309082,"0,4,9",0.8705600608449484,19.811831951141357,0.00018906593322753906,0.010185718536376953,3.8544557889302573,216165672.0,216165672.0,0.218367488,0.09,0.69,0.885,0.0,0.428,0.705,0.296,0.601,0.738,0.018
28,EAHM-FL-no_selection,0.1,45,0.2399,2.469337564086914,"3,8,9",2.0159143014353575,10.90805697441101,0.0001480579376220703,0.010530948638916016,1.951220432917277,224171808.0,224171808.0,0.218367488,0.797,0.248,0.0,0.989,0.264,0.0,0.0,0.001,0.1,0.0
29,EAHM-FL-no_selection,0.1,45,0.4105,2.072015571594238,"2,6,8",1.6988421543907812,13.231584310531616,0.00015854835510253906,0.011654138565063477,2.4675806363423667,232177944.0,232177944.0,0.218367488,0.655,0.565,0.0,0.0,0.785,0.005,0.957,0.0,0.239,0.899
