round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,FedProx,0.3,42,0.1091,2.5727092739105224,"8,1,5",1.3690752921138525,15.650393962860107,0.00013518333435058594,0.00948786735534668,3.040031353632609,8006136.0,8006136.0,0.215732224,0.0,0.0,0.0,0.0,0.992,0.0,0.0,0.0,0.099,0.0
2,FedProx,0.3,42,0.1788,2.304370724487305,"0,1,8",1.392092377677628,15.316831588745117,0.0001804828643798828,0.009706497192382812,2.963758865992228,16012272.0,16012272.0,0.218410496,0.0,0.0,0.0,0.0,0.953,0.0,0.0,0.0,0.633,0.202
3,FedProx,0.3,42,0.268,2.101139730834961,"9,2,0",1.3443512990469018,12.623953104019165,0.00011110305786132812,0.009197235107421875,2.409041166305542,24018408.0,24018408.0,0.218410496,0.0,0.0,0.814,0.162,0.0,0.182,0.299,0.0,0.614,0.609
4,FedProx,0.3,42,0.2091,2.0729073791503905,"1,7,6",1.7124525150726166,17.76236844062805,0.00011420249938964844,0.008750200271606445,3.557290554046631,32024544.0,32024544.0,0.218410496,0.651,0.086,0.0,0.0,0.103,0.118,0.953,0.172,0.003,0.005
5,FedProx,0.3,42,0.1831,2.349099315261841,"1,5,4",1.3790382614601073,16.789878129959106,0.0001556873321533203,0.008762836456298828,3.3242134253184,40030680.0,40030680.0,0.218410496,0.813,0.0,0.848,0.001,0.0,0.132,0.008,0.0,0.001,0.028
6,FedProx,0.3,42,0.3207,1.8800531467437744,"8,2,5",1.9309813765124186,13.41839337348938,0.0001246929168701172,0.008619546890258789,2.593070109685262,48036816.0,48036816.0,0.218410496,0.058,0.681,0.01,0.047,0.779,0.597,0.007,0.0,0.691,0.337
7,FedProx,0.3,42,0.2698,1.8958643936157227,"0,5,2",1.1463263926192044,10.800236463546753,0.00013780593872070312,0.009939432144165039,1.9988452593485515,56042952.0,56042952.0,0.218410496,0.367,0.828,0.157,0.897,0.3,0.0,0.0,0.009,0.0,0.14
8,FedProx,0.3,42,0.3338,1.8532428142547608,"4,8,1",1.2429408920465193,18.75329327583313,0.00011610984802246094,0.008820533752441406,3.725498835245768,64049088.0,64049088.0,0.218410496,0.385,0.0,0.426,0.0,0.392,0.559,0.128,0.0,0.887,0.561
9,FedProx,0.3,42,0.3356,2.0004517692565917,"2,0,4",1.1165194176299205,13.613497018814087,0.0002086162567138672,0.008528470993041992,2.6433674494425454,72055224.0,72055224.0,0.218410496,0.588,0.0,0.609,0.001,0.0,0.765,0.016,0.0,0.594,0.783
10,FedProx,0.3,42,0.3787,1.8393835544586181,"4,2,7",1.4175279405781183,15.251842737197876,0.00011181831359863281,0.008975505828857422,2.960472822189331,80061360.0,80061360.0,0.218410496,0.435,0.608,0.762,0.0,0.0,0.304,0.508,0.003,0.854,0.313
11,FedProx,0.3,42,0.2852,1.9063206314086913,"5,2,7",1.505269191495006,12.415904521942139,0.0001900196075439453,0.009567737579345703,2.377432028452555,88067496.0,88067496.0,0.218410496,0.176,0.977,0.884,0.037,0.0,0.263,0.178,0.019,0.318,0.0
12,FedProx,0.3,42,0.2683,2.078507151031494,"1,5,2",1.0259351373512313,12.148478507995605,0.00012969970703125,0.008788585662841797,2.298743724822998,96073632.0,96073632.0,0.218410496,0.599,0.772,0.033,0.009,0.951,0.0,0.314,0.0,0.004,0.001
13,FedProx,0.3,42,0.2792,2.04481173286438,"3,1,4",0.7372165177179402,15.608729362487793,0.00011777877807617188,0.009156465530395508,2.9967171351114907,104079768.0,104079768.0,0.218410496,0.939,0.017,0.639,0.0,0.0,0.296,0.338,0.0,0.217,0.346
14,FedProx,0.3,42,0.3798,1.9453088642120362,"2,4,5",1.4845065833501396,14.25823163986206,0.00020051002502441406,0.008696556091308594,2.775827407836914,112085904.0,112085904.0,0.218410496,0.486,0.69,0.844,0.039,0.0,0.574,0.081,0.0,0.701,0.383
15,FedProx,0.3,42,0.3684,1.7553071773529052,"7,0,1",1.7880213108075085,14.028645038604736,0.0001125335693359375,0.008555412292480469,2.736281156539917,120092040.0,120092040.0,0.218410496,0.413,0.834,0.094,0.0,0.867,0.007,0.646,0.054,0.481,0.288
16,FedProx,0.3,42,0.3577,1.8060545150756835,"6,1,3",0.8548429110708774,15.742094993591309,0.00013566017150878906,0.009031295776367188,3.1235406398773193,128098176.0,128098176.0,0.218410496,0.904,0.348,0.001,0.0,0.137,0.563,0.932,0.645,0.001,0.046
17,FedProx,0.3,42,0.3893,1.8133216438293458,"4,7,8",1.208433990680075,18.6815447807312,0.00010919570922851562,0.009287357330322266,3.7542237440745034,136104312.0,136104312.0,0.218410496,0.303,0.013,0.469,0.0,0.001,0.864,0.513,0.007,0.957,0.766
18,FedProx,0.3,42,0.3916,1.5699369899749755,"1,8,5",1.5366120119485538,15.535401821136475,0.00010156631469726562,0.009350299835205078,3.0149190425872803,144110448.0,144110448.0,0.218410496,0.508,0.839,0.051,0.024,0.838,0.616,0.369,0.0,0.467,0.204
19,FedProx,0.3,42,0.3908,1.8435690349578857,"8,0,4",1.0271541913174158,16.897730588912964,0.00016927719116210938,0.008968353271484375,3.3402026494344077,152116584.0,152116584.0,0.218410496,0.5,0.0,0.334,0.0,0.022,0.923,0.354,0.0,0.909,0.866
20,FedProx,0.3,42,0.3092,2.2266592727661134,"0,2,1",1.612884315794379,11.55900502204895,0.00015473365783691406,0.009026527404785156,2.198941628138224,160122720.0,160122720.0,0.218410496,0.469,0.787,0.001,0.0,0.966,0.0,0.515,0.003,0.017,0.334
21,FedProx,0.3,42,0.3555,2.0966668342590333,"1,2,7",0.4054334843195521,13.198221206665039,0.0001659393310546875,0.00870966911315918,2.527188777923584,168128856.0,168128856.0,0.218410496,0.57,0.942,0.07,0.0,0.629,0.009,0.939,0.08,0.31,0.006
22,FedProx,0.3,42,0.4518,1.6142539577484132,"7,9,1",0.8708751080642457,16.59926676750183,0.00011920928955078125,0.008683204650878906,3.2982333501180015,176134992.0,176134992.0,0.218410496,0.238,0.784,0.559,0.016,0.007,0.4,0.949,0.209,0.825,0.531
23,FedProx,0.3,42,0.4401,1.7511451156616211,"5,7,4",1.0249825221328759,17.078354597091675,0.00012135505676269531,0.008820533752441406,3.4054930210113525,184141128.0,184141128.0,0.218410496,0.515,0.716,0.888,0.001,0.0,0.636,0.131,0.013,0.818,0.683
24,FedProx,0.3,42,0.5027,1.5918246295928955,"6,4,7",1.0001228647074898,19.80724811553955,0.00018262863159179688,0.008942365646362305,4.010158697764079,192147264.0,192147264.0,0.218410496,0.737,0.36,0.345,0.0,0.0,0.9,0.85,0.412,0.757,0.666
25,FedProx,0.3,42,0.4689,1.6946709526062012,"9,6,4",0.6421929254068904,20.647736072540283,0.00012254714965820312,0.008878469467163086,4.241853793462117,200153400.0,200153400.0,0.218410496,0.604,0.007,0.525,0.001,0.0,0.906,0.782,0.223,0.816,0.825
26,FedProx,0.3,42,0.5053,1.4565723274230957,"3,6,9",0.7830155543652692,16.213668823242188,0.00022411346435546875,0.009024620056152344,3.215794324874878,208159536.0,208159536.0,0.218410496,0.754,0.11,0.255,0.118,0.0,0.851,0.913,0.585,0.671,0.796
27,FedProx,0.3,42,0.5243,1.3613136962890624,"7,1,4",1.4260372108769328,17.8100004196167,0.0001742839813232422,0.008684635162353516,3.5446569124857583,216165672.0,216165672.0,0.218410496,0.739,0.629,0.759,0.0,0.029,0.419,0.846,0.318,0.805,0.699
28,FedProx,0.3,42,0.4517,1.612840929031372,"6,9,0",0.9451906428161032,16.67520785331726,0.00015211105346679688,0.00919961929321289,3.2841485341389975,224171808.0,224171808.0,0.218410496,0.453,0.093,0.127,0.035,0.0,0.931,0.887,0.545,0.674,0.772
29,FedProx,0.3,42,0.4911,1.3486842720031738,"4,0,1",1.439228395853754,15.81894326210022,0.0001709461212158203,0.008908271789550781,3.134649674097697,232177944.0,232177944.0,0.218410496,0.837,0.031,0.736,0.004,0.109,0.514,0.785,0.308,0.745,0.842
30,FedProx,0.3,42,0.4863,1.4442037487030028,"5,1,9",1.162803933824667,14.97441554069519,0.00011086463928222656,0.008789539337158203,2.9377214908599854,240184080.0,240184080.0,0.218410496,0.435,0.798,0.803,0.643,0.02,0.242,0.774,0.025,0.623,0.5
31,FedProx,0.3,42,0.5109,1.5224569332122804,"6,4,9",0.8569973575108515,19.87337327003479,0.0001621246337890625,0.008869647979736328,4.033100922902425,248190216.0,248190216.0,0.218410496,0.679,0.059,0.527,0.007,0.0,0.924,0.838,0.356,0.827,0.892
32,FedProx,0.3,42,0.4942,1.4644077766418457,"8,5,4",0.8401775077999055,17.349939107894897,0.00010371208190917969,0.008747577667236328,3.479248603185018,256196352.0,256196352.0,0.218410496,0.52,0.286,0.756,0.03,0.001,0.857,0.563,0.109,0.955,0.865
33,FedProx,0.3,42,0.4882,1.4370950242996217,"7,1,3",1.3860258928840972,13.705128192901611,0.00011587142944335938,0.009261131286621094,2.640169382095337,264202488.0,264202488.0,0.218410496,0.708,0.977,0.257,0.0,0.646,0.187,0.94,0.304,0.618,0.245
34,FedProx,0.3,42,0.5273,1.403437663269043,"4,1,6",0.8885297706014272,19.518836498260498,0.00010395050048828125,0.009123086929321289,3.9696218967437744,272208624.0,272208624.0,0.218410496,0.902,0.263,0.426,0.0,0.015,0.916,0.849,0.58,0.595,0.727
35,FedProx,0.3,42,0.5568,1.277465350341797,"4,0,1",0.9319471458351248,15.813549995422363,0.00011515617370605469,0.009106159210205078,3.1402952671051025,280214760.0,280214760.0,0.218410496,0.812,0.106,0.63,0.0,0.442,0.676,0.817,0.381,0.764,0.94
36,FedProx,0.3,42,0.5453,1.3006699619293214,"9,0,3",0.6017954089957841,12.756197929382324,0.00011515617370605469,0.008948564529418945,2.446186383565267,288220896.0,288220896.0,0.218410496,0.576,0.236,0.571,0.664,0.006,0.44,0.866,0.36,0.78,0.954
37,FedProx,0.3,42,0.4468,1.521201215171814,"1,5,2",1.5868423220486925,12.13290548324585,0.00024127960205078125,0.008903980255126953,2.2931808630625405,296227032.0,296227032.0,0.218410496,0.61,0.952,0.3,0.266,0.92,0.141,0.816,0.0,0.435,0.028
38,FedProx,0.3,42,0.5352,1.3949306011199951,"8,6,4",1.5129624409400941,20.156772136688232,0.00016736984252929688,0.008760213851928711,4.077164967854817,304233168.0,304233168.0,0.218410496,0.75,0.33,0.371,0.0,0.003,0.968,0.804,0.389,0.891,0.846
39,FedProx,0.3,42,0.5263,1.2628593370437622,"3,0,1",1.082697087820434,11.889892339706421,0.00017714500427246094,0.011620044708251953,2.2449258963267007,312239304.0,312239304.0,0.218410496,0.83,0.757,0.114,0.033,0.862,0.156,0.888,0.292,0.454,0.877
40,FedProx,0.3,42,0.6247,1.0150184839248657,"8,1,5",0.9954672632043122,15.502213478088379,0.00011563301086425781,0.008691072463989258,3.052738904953003,320245440.0,320245440.0,0.218410496,0.65,0.893,0.458,0.196,0.771,0.756,0.854,0.101,0.864,0.704
