round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,EAHM-FL,0.1,45,0.2015,2.4692247016906737,"2,4,1",1.6872835649268565,19.2224338054657,9.965896606445312e-05,0.009196043014526367,3.701027790705363,8006136.0,8006136.0,0.215689216,0.0,0.003,0.703,0.0,0.0,0.598,0.0,0.076,0.635,0.0
2,EAHM-FL,0.1,45,0.2727,2.790477488708496,"3,2,4",1.6496574443631322,17.579060792922974,0.00018525123596191406,0.009010553359985352,3.3781661987304688,16012272.0,16012272.0,0.218367488,0.0,0.0,0.415,0.0,0.0,0.77,0.0,0.568,0.974,0.0
3,EAHM-FL,0.1,45,0.2086,2.2203755699157717,"9,3,7",2.7274715518604378,13.452062129974365,0.0001621246337890625,0.008828401565551758,2.504588762919108,24018408.0,24018408.0,0.218367488,0.698,0.064,0.45,0.871,0.003,0.0,0.0,0.0,0.0,0.0
4,EAHM-FL,0.1,45,0.2604,1.8796763584136962,"5,8,7",1.6209308817991506,12.823653221130371,0.0002484321594238281,0.00953364372253418,2.330785353978475,32024544.0,32024544.0,0.218367488,0.595,0.039,0.866,0.04,0.0,0.09,0.005,0.127,0.13,0.712
5,EAHM-FL,0.1,45,0.3112,2.2542472442626953,"3,6,0",1.2004341422603646,13.246201276779175,0.0001049041748046875,0.009840250015258789,2.4585443337758384,40030680.0,40030680.0,0.218367488,0.721,0.266,0.0,0.017,0.434,0.011,0.921,0.0,0.0,0.742
6,EAHM-FL,0.1,45,0.3189,1.7794389987945556,"5,9,3",1.5690987976082986,12.205281019210815,9.226799011230469e-05,0.010182380676269531,2.2481523354848227,48036816.0,48036816.0,0.218367488,0.584,0.0,0.299,0.883,0.305,0.001,0.123,0.006,0.264,0.724
7,EAHM-FL,0.1,45,0.3253,1.8199837755203248,"9,5,3",0.8558931786989724,12.12663984298706,9.322166442871094e-05,0.01188206672668457,2.1932432651519775,56042952.0,56042952.0,0.218367488,0.646,0.0,0.249,0.838,0.145,0.0,0.506,0.0,0.219,0.65
8,EAHM-FL,0.1,45,0.3225,1.8897630952835083,"7,5,3",1.1716267434252245,12.757665872573853,8.630752563476562e-05,0.011277437210083008,2.346685250600179,64049088.0,64049088.0,0.218367488,0.599,0.533,0.823,0.222,0.0,0.079,0.262,0.021,0.01,0.676
9,EAHM-FL,0.1,45,0.2819,2.2875180366516115,"2,7,3",1.0184428219446757,10.92730712890625,9.036064147949219e-05,0.01068425178527832,1.9398682912190754,72055224.0,72055224.0,0.218367488,0.766,0.513,0.144,0.304,0.001,0.805,0.013,0.015,0.0,0.258
10,EAHM-FL,0.1,45,0.3525,1.937071499633789,"7,2,3",1.1526816722852204,10.77168583869934,9.1552734375e-05,0.010825634002685547,1.94156281153361,80061360.0,80061360.0,0.218367488,0.706,0.927,0.178,0.095,0.0,0.589,0.795,0.125,0.006,0.104
11,EAHM-FL,0.1,45,0.3437,2.0098736530303953,"5,3,2",1.2780381482294976,9.766199588775635,0.0002238750457763672,0.012258052825927734,1.7199776967366536,88067496.0,88067496.0,0.218367488,0.067,0.0,0.166,0.083,0.0,0.287,0.938,0.323,0.942,0.631
12,EAHM-FL,0.1,45,0.3932,1.8635458377838134,"3,5,2",0.7585184631103746,9.466263771057129,0.00022649765014648438,0.010741233825683594,1.649610996246338,96073632.0,96073632.0,0.218367488,0.37,0.0,0.255,0.481,0.0,0.423,0.647,0.285,0.857,0.614
13,EAHM-FL,0.1,45,0.2167,3.711380253982544,"1,2,3",0.8639716785414954,9.683366298675537,9.179115295410156e-05,0.01110386848449707,1.6865281263987224,104079768.0,104079768.0,0.218367488,0.92,0.214,0.0,0.872,0.0,0.0,0.0,0.002,0.0,0.159
14,EAHM-FL,0.1,45,0.3433,2.0443484188079832,"7,5,3",2.0235325075939876,12.430760622024536,0.0002593994140625,0.010758161544799805,2.2758470376332602,112085904.0,112085904.0,0.218367488,0.0,0.094,0.782,0.061,0.0,0.054,0.649,0.189,0.691,0.913
15,EAHM-FL,0.1,45,0.3538,1.8049686506271363,"9,7,5",1.3915636359253687,14.455666780471802,0.0002512931823730469,0.012643098831176758,2.7334046363830566,120092040.0,120092040.0,0.218367488,0.154,0.684,0.69,0.349,0.006,0.003,0.843,0.073,0.291,0.445
