round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,FedDyn,0.1,44,0.1303,2.8308768882751463,"2,7,9",1.596242413002516,13.271878957748413,8.344650268554688e-05,0.009061336517333984,2.646897872289022,8006136.0,8006136.0,0.218405888,0.376,0.0,0.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,FedDyn,0.1,44,0.1056,3.6329330841064453,"0,5,2",1.6133398643427446,12.655264139175415,0.000202178955078125,0.009720325469970703,2.448998053868612,16012272.0,16012272.0,0.22108416,0.0,0.0,0.999,0.0,0.0,0.0,0.055,0.0,0.0,0.002
3,FedDyn,0.1,44,0.1596,2.4585796295166014,"2,7,8",2.9708620562578028,12.601349592208862,0.00018072128295898438,0.009333372116088867,2.444354216257731,24018408.0,24018408.0,0.22108416,0.434,0.0,0.93,0.0,0.001,0.0,0.231,0.0,0.0,0.0
4,FedDyn,0.1,44,0.1007,2.4250430335998536,"9,7,6",2.2678218393072362,13.618081092834473,0.00020742416381835938,0.0096282958984375,2.7014999389648438,32024544.0,32024544.0,0.22108416,0.007,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,FedDyn,0.1,44,0.2069,2.4232780227661133,"9,1,4",1.7339756956016135,18.90600037574768,0.00017380714416503906,0.00942087173461914,3.910255193710327,40030680.0,40030680.0,0.22108416,0.104,0.623,0.0,0.0,0.513,0.0,0.004,0.825,0.0,0.0
6,FedDyn,0.1,44,0.1927,2.443668232345581,"3,0,6",2.649914131886315,18.61043643951416,0.0001800060272216797,0.010210752487182617,3.8109230995178223,48036816.0,48036816.0,0.22108416,0.563,0.0,0.0,0.385,0.0,0.069,0.0,0.0,0.765,0.145
7,FedDyn,0.1,44,0.257,2.117853807067871,"6,5,3",1.4409461889079507,21.198333263397217,0.00021576881408691406,0.00929570198059082,4.394197543462117,56042952.0,56042952.0,0.22108416,0.448,0.0,0.0,0.001,0.0,0.93,0.0,0.0,0.747,0.444
8,FedDyn,0.1,44,0.2061,2.784618841934204,"0,1,8",2.090666093204902,15.563325881958008,0.00017976760864257812,0.009532690048217773,3.120117743810018,64049088.0,64049088.0,0.22108416,0.0,0.778,0.0,0.0,0.958,0.0,0.058,0.267,0.0,0.0
9,FedDyn,0.1,44,0.1954,2.1932164768218994,"9,2,6",2.840628475884882,17.22251605987549,0.00026679039001464844,0.00944662094116211,3.47116756439209,72055224.0,72055224.0,0.22108416,0.671,0.002,0.401,0.0,0.0,0.88,0.0,0.0,0.0,0.0
10,FedDyn,0.1,44,0.2064,2.2909721103668215,"6,2,9",0.9817145767596774,17.06269407272339,0.00018596649169921875,0.009565591812133789,3.503755489985148,80061360.0,80061360.0,0.22108416,0.784,0.0,0.682,0.0,0.0,0.589,0.009,0.0,0.0,0.0
11,FedDyn,0.1,44,0.1727,2.3068810470581056,"3,8,9",1.8729412923139555,19.861459493637085,0.0002124309539794922,0.009433269500732422,4.085585594177246,88067496.0,88067496.0,0.22108416,0.949,0.0,0.001,0.0,0.003,0.069,0.0,0.003,0.178,0.524
12,FedDyn,0.1,44,0.221,2.3526510528564453,"1,6,7",2.192010250383886,16.7857403755188,0.00017714500427246094,0.00937962532043457,3.4035398960113525,96073632.0,96073632.0,0.22108416,0.0,0.698,0.0,0.0,0.614,0.428,0.266,0.204,0.0,0.0
13,FedDyn,0.1,44,0.2244,3.8497677810668947,"7,0,3",2.4674365182686775,14.539093732833862,0.0002357959747314453,0.009674072265625,2.897038141886393,104079768.0,104079768.0,0.22108416,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.912,0.902
14,FedDyn,0.1,44,0.2444,2.854864079284668,"0,1,5",4.284026234244163,15.904498100280762,0.00022459030151367188,0.009243011474609375,3.193045695622762,112085904.0,112085904.0,0.22108416,0.0,0.968,0.0,0.0,0.0,0.0,0.949,0.527,0.0,0.0
15,FedDyn,0.1,44,0.2362,2.8500581192016603,"3,7,9",2.870444612382903,17.472004890441895,0.00025343894958496094,0.008910655975341797,3.540903647740682,120092040.0,120092040.0,0.22108416,0.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897,0.83
16,FedDyn,0.1,44,0.1693,2.2980732421875,"6,5,2",2.7349451890297547,16.95304822921753,0.0002200603485107422,0.009106159210205078,3.4882050355275473,128098176.0,128098176.0,0.22108416,0.04,0.0,0.903,0.0,0.0,0.121,0.036,0.0,0.023,0.57
17,FedDyn,0.1,44,0.2215,2.942606721496582,"3,8,5",2.364700194294389,19.451788902282715,0.0001671314239501953,0.009306192398071289,4.053722381591797,136104312.0,136104312.0,0.22108416,0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.721,0.986
18,FedDyn,0.1,44,0.2813,2.035581509399414,"1,5,6",3.3985135828527997,19.53087043762207,0.0002009868621826172,0.009128093719482422,4.036572853724162,144110448.0,144110448.0,0.22108416,0.0,0.873,0.0,0.0,0.0,0.007,0.914,0.859,0.031,0.129
19,FedDyn,0.1,44,0.2642,2.7224949523925783,"4,9,2",1.429671574996297,15.919661045074463,0.00017118453979492188,0.009305238723754883,3.1839513778686523,152116584.0,152116584.0,0.22108416,0.703,0.013,0.464,0.0,0.0,0.0,0.951,0.503,0.0,0.008
20,FedDyn,0.1,44,0.1,3.8802186767578126,"9,6,0",2.6344095291670904,13.762279033660889,0.00020265579223632812,0.009176015853881836,2.6568849086761475,160122720.0,160122720.0,0.22108416,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,FedDyn,0.1,44,0.1072,3.119360720062256,"6,8,7",2.5112156367439384,13.012248754501343,0.00021409988403320312,0.010082006454467773,2.567912975947062,168128856.0,168128856.0,0.22108416,0.0,0.0,0.0,0.204,0.0,0.868,0.0,0.0,0.0,0.0
22,FedDyn,0.1,44,0.2388,2.8874666007995606,"3,0,9",2.5568334310497813,17.673339366912842,0.00017952919006347656,0.008681535720825195,3.595235586166382,176134992.0,176134992.0,0.22108416,0.85,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.751,0.778
23,FedDyn,0.1,44,0.2646,2.4282937042236328,"9,5,7",1.7615276659536097,12.049081563949585,0.00017118453979492188,0.009180545806884766,2.3232154846191406,184141128.0,184141128.0,0.22108416,0.228,0.0,0.774,0.0,0.0,0.002,0.0,0.87,0.0,0.772
24,FedDyn,0.1,44,0.1666,3.233515422439575,"2,9,8",1.4324661774262468,15.835201263427734,0.00022721290588378906,0.009961605072021484,3.1854724089304605,192147264.0,192147264.0,0.22108416,0.717,0.0,0.938,0.0,0.0,0.0,0.0,0.001,0.0,0.01
25,FedDyn,0.1,44,0.2545,2.4180129722595214,"9,4,8",2.2744885395461814,14.785927772521973,0.00020265579223632812,0.009794235229492188,2.939595937728882,200153400.0,200153400.0,0.22108416,0.757,0.0,0.079,0.0,0.745,0.0,0.179,0.785,0.0,0.0
26,FedDyn,0.1,44,0.1593,4.192004571533203,"0,7,4",2.2655611026176126,9.358691930770874,0.00015354156494140625,0.009273529052734375,1.7134769757588704,208159536.0,208159536.0,0.22108416,0.018,0.0,0.0,0.991,0.0,0.0,0.318,0.176,0.031,0.059
27,FedDyn,0.1,44,0.2663,2.270008758544922,"7,1,6",4.052790442725789,17.17229437828064,0.00016570091247558594,0.00970315933227539,3.4917826652526855,216165672.0,216165672.0,0.22108416,0.0,0.412,0.0,0.086,0.012,0.754,0.878,0.521,0.0,0.0
28,FedDyn,0.1,44,0.3035,2.287032474899292,"2,3,5",2.5416395412148716,21.229803800582886,0.00018477439880371094,0.010286808013916016,4.3594106038411455,224171808.0,224171808.0,0.22108416,0.781,0.0,0.132,0.0,0.0,0.0,0.507,0.172,0.47,0.973
29,FedDyn,0.1,44,0.2643,2.857666131591797,"1,2,8",2.8363309152969243,19.132972478866577,0.0001666545867919922,0.008923768997192383,3.9141907691955566,232177944.0,232177944.0,0.22108416,0.206,0.851,0.015,0.0,0.411,0.0,0.988,0.172,0.0,0.0
30,FedDyn,0.1,44,0.1,3.4133789421081544,"4,7,6",4.329986095869972,13.179074048995972,0.0001614093780517578,0.009408950805664062,2.5880630016326904,240184080.0,240184080.0,0.22108416,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
