round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,FedDyn,0.3,44,0.1371,2.2179031421661377,"2,7,9",1.3740390980752422,16.169355869293213,7.176399230957031e-05,0.008836746215820312,3.3080032666524253,8006136.0,8006136.0,0.218405888,0.335,0.0,0.052,0.0,0.923,0.057,0.0,0.0,0.004,0.0
2,FedDyn,0.3,44,0.207,2.20721022644043,"0,5,2",1.2438288468357988,15.959666967391968,0.00022721290588378906,0.009197473526000977,3.26180362701416,16012272.0,16012272.0,0.22108416,0.0,0.0,0.806,0.0,0.0,0.0,0.411,0.054,0.799,0.0
3,FedDyn,0.3,44,0.2189,2.168260241317749,"2,7,8",0.9979135026228244,13.399293422698975,0.0001590251922607422,0.009097576141357422,2.628175735473633,24018408.0,24018408.0,0.22108416,0.0,0.006,0.022,0.0,0.888,0.0,0.28,0.0,0.869,0.124
4,FedDyn,0.3,44,0.2003,2.0713070049285887,"9,7,6",1.4649608596260357,14.27597689628601,0.00021576881408691406,0.009250640869140625,2.863782008488973,32024544.0,32024544.0,0.22108416,0.135,0.037,0.0,0.0,0.021,0.979,0.001,0.041,0.748,0.041
5,FedDyn,0.3,44,0.2766,2.098278038406372,"9,1,4",1.437143058380039,15.549336194992065,0.00020623207092285156,0.009065389633178711,3.169880469640096,40030680.0,40030680.0,0.22108416,0.854,0.619,0.0,0.147,0.216,0.012,0.864,0.054,0.0,0.0
6,FedDyn,0.3,44,0.2564,2.142360556793213,"3,0,6",1.3979240212648525,18.372331619262695,0.00015783309936523438,0.009073019027709961,3.8023153146107993,48036816.0,48036816.0,0.22108416,0.013,0.0,0.025,0.878,0.001,0.093,0.04,0.498,0.896,0.12
7,FedDyn,0.3,44,0.3114,2.1627944927215577,"6,5,3",0.9210694408807099,14.943090200424194,0.00015664100646972656,0.009162187576293945,3.0091209411621094,56042952.0,56042952.0,0.22108416,0.378,0.0,0.202,0.898,0.0,0.0,0.0,0.04,0.758,0.838
8,FedDyn,0.3,44,0.2981,1.8762857700347901,"0,1,8",2.0656664260079043,16.313092470169067,0.00017547607421875,0.00927424430847168,3.3379429976145425,64049088.0,64049088.0,0.22108416,0.173,0.224,0.001,0.228,0.009,0.109,0.938,0.407,0.892,0.0
9,FedDyn,0.3,44,0.3362,1.9758094955444336,"9,2,6",1.1413764769138306,13.6569082736969,0.0001499652862548828,0.009241104125976562,2.7437878449757895,72055224.0,72055224.0,0.22108416,0.885,0.352,0.159,0.0,0.0,0.898,0.649,0.419,0.0,0.0
10,FedDyn,0.3,44,0.3668,1.921703339767456,"6,2,9",0.6983478515292267,13.756982564926147,0.00015115737915039062,0.009506940841674805,2.7277172406514487,80061360.0,80061360.0,0.22108416,0.9,0.429,0.432,0.0,0.0,0.671,0.821,0.415,0.0,0.0
11,FedDyn,0.3,44,0.2697,2.2319806217193605,"3,8,9",0.9927250508006433,16.3550066947937,0.00015211105346679688,0.009395837783813477,3.3615326086680093,88067496.0,88067496.0,0.22108416,0.948,0.0,0.0,0.0,0.0,0.759,0.011,0.438,0.27,0.271
12,FedDyn,0.3,44,0.2256,2.4717460105895994,"1,6,7",2.2567388384345146,15.153637647628784,0.0002028942108154297,0.00933218002319336,3.0586156050364175,96073632.0,96073632.0,0.22108416,0.0,0.918,0.0,0.082,0.972,0.0,0.284,0.0,0.0,0.0
13,FedDyn,0.3,44,0.3323,2.0184688268661497,"7,0,3",1.9086367136027624,20.498310804367065,0.00014901161193847656,0.009067058563232422,4.324487606684367,104079768.0,104079768.0,0.22108416,0.037,0.0,0.002,0.731,0.046,0.234,0.194,0.589,0.969,0.521
14,FedDyn,0.3,44,0.3447,1.8071141326904296,"0,1,5",1.7730028328874419,17.512815475463867,0.00014734268188476562,0.009345769882202148,3.5576303005218506,112085904.0,112085904.0,0.22108416,0.195,0.61,0.111,0.297,0.002,0.001,0.979,0.348,0.766,0.138
15,FedDyn,0.3,44,0.3764,2.0822145149230957,"3,7,9",1.490166143217855,18.68798542022705,0.00014853477478027344,0.009302139282226562,3.8799310525258384,120092040.0,120092040.0,0.22108416,0.498,0.0,0.0,0.166,0.034,0.8,0.164,0.318,0.861,0.923
16,FedDyn,0.3,44,0.3341,2.0736389797210695,"6,5,2",1.4121675125692323,12.17403244972229,0.0001499652862548828,0.009439229965209961,2.379202445348104,128098176.0,128098176.0,0.22108416,0.385,0.543,0.895,0.005,0.0,0.0,0.763,0.021,0.099,0.63
17,FedDyn,0.3,44,0.3317,2.5605773246765136,"3,8,5",0.8576782981763857,14.840579986572266,0.00015425682067871094,0.00919032096862793,3.0198479493459067,136104312.0,136104312.0,0.22108416,0.793,0.0,0.24,0.623,0.0,0.0,0.0,0.0,0.739,0.922
18,FedDyn,0.3,44,0.3227,1.9490729461669922,"1,5,6",2.750086634330222,13.608850955963135,0.00017714500427246094,0.008966207504272461,2.7167038917541504,144110448.0,144110448.0,0.22108416,0.237,0.973,0.005,0.39,0.728,0.0,0.797,0.001,0.012,0.084
19,FedDyn,0.3,44,0.3145,1.8881050481796264,"4,9,2",1.3742048269504845,13.981626272201538,0.0001544952392578125,0.009135246276855469,2.804583787918091,152116584.0,152116584.0,0.22108416,0.936,0.175,0.061,0.0,0.001,0.466,0.953,0.549,0.0,0.004
20,FedDyn,0.3,44,0.3042,2.971823561477661,"9,6,0",1.0048864807772386,15.820939540863037,0.00020885467529296875,0.009173393249511719,3.210329612096151,160122720.0,160122720.0,0.22108416,0.162,0.001,0.005,0.0,0.0,0.972,0.448,0.645,0.809,0.0
21,FedDyn,0.3,44,0.3567,1.9298531261444092,"6,8,7",3.060236032330131,11.743032455444336,0.00013780593872070312,0.009414911270141602,2.2863903045654297,168128856.0,168128856.0,0.22108416,0.0,0.68,0.0,0.385,0.976,0.0,0.242,0.0,0.801,0.483
22,FedDyn,0.3,44,0.354,2.134158744621277,"3,0,9",1.8664307453238358,20.598145961761475,0.0001537799835205078,0.009218692779541016,4.27143398920695,176134992.0,176134992.0,0.22108416,0.415,0.0,0.001,0.024,0.0,0.941,0.149,0.565,0.936,0.509
23,FedDyn,0.3,44,0.4353,1.7435314037322998,"9,5,7",1.5807680219463072,15.159363985061646,0.00016021728515625,0.009274959564208984,3.073597272237142,184141128.0,184141128.0,0.22108416,0.791,0.0,0.0,0.009,0.04,0.907,0.845,0.35,0.554,0.857
24,FedDyn,0.3,44,0.3121,2.357772131729126,"2,9,8",1.0315812279792376,13.844705820083618,0.0001595020294189453,0.00938868522644043,2.76401948928833,192147264.0,192147264.0,0.22108416,0.963,0.0,0.0,0.0,0.0,0.665,0.91,0.554,0.028,0.001
25,FedDyn,0.3,44,0.3287,2.7193495933532716,"9,4,8",1.4447238410079393,12.075339794158936,0.0001544952392578125,0.009267807006835938,2.3381842772165933,200153400.0,200153400.0,0.22108416,0.855,0.0,0.0,0.0,0.0,0.832,0.86,0.731,0.009,0.0
26,FedDyn,0.3,44,0.3234,2.1445089862823488,"0,7,4",2.494848564938492,16.202722787857056,0.00016617774963378906,0.009666681289672852,3.275608857472738,208159536.0,208159536.0,0.22108416,0.0,0.002,0.0,0.839,0.05,0.0,0.805,0.606,0.887,0.045
27,FedDyn,0.3,44,0.2946,2.419587467956543,"7,1,6",1.7640962288163202,15.425743579864502,0.00015807151794433594,0.009297370910644531,3.1084168752034507,216165672.0,216165672.0,0.22108416,0.0,0.931,0.0,0.269,0.943,0.0,0.603,0.0,0.2,0.0
28,FedDyn,0.3,44,0.3616,2.1622317295074462,"2,3,5",2.5176378816058516,17.361512660980225,0.00016880035400390625,0.00891423225402832,3.566154877344767,224171808.0,224171808.0,0.22108416,0.75,0.0,0.278,0.751,0.078,0.0,0.092,0.0,0.73,0.937
29,FedDyn,0.3,44,0.2843,2.4172989120483397,"1,2,8",2.429361750701244,14.642705917358398,0.00021314620971679688,0.009325504302978516,2.9420204957326255,232177944.0,232177944.0,0.22108416,0.089,0.983,0.102,0.0,0.709,0.0,0.921,0.0,0.039,0.0
30,FedDyn,0.3,44,0.3794,2.102690289306641,"4,7,6",1.8480155719872726,12.471518516540527,0.00016188621520996094,0.009132623672485352,2.4263386726379395,240184080.0,240184080.0,0.22108416,0.0,0.732,0.0,0.861,0.799,0.0,0.309,0.0,0.486,0.607
31,FedDyn,0.3,44,0.259,2.7611015949249267,"4,1,5",0.9693890748506456,13.708372354507446,0.0001995563507080078,0.008943319320678711,2.73022731145223,248190216.0,248190216.0,0.22108416,0.0,0.965,0.001,0.129,0.508,0.0,0.979,0.0,0.008,0.0
32,FedDyn,0.3,44,0.3792,2.0039808547973634,"6,7,2",1.6759843167212234,13.769207954406738,0.0001628398895263672,0.009422779083251953,2.769846280415853,256196352.0,256196352.0,0.22108416,0.003,0.884,0.017,0.585,0.919,0.0,0.629,0.0,0.663,0.092
33,FedDyn,0.3,44,0.3461,2.0395456657409667,"0,7,9",2.170980274642196,18.575913429260254,0.0001513957977294922,0.008877277374267578,3.859483321507772,264202488.0,264202488.0,0.22108416,0.0,0.092,0.0,0.042,0.236,0.923,0.82,0.427,0.888,0.033
34,FedDyn,0.3,44,0.3997,1.78674188079834,"4,7,9",1.328911433906425,14.679545164108276,0.00015115737915039062,0.009304046630859375,2.938690423965454,272208624.0,272208624.0,0.22108416,0.125,0.175,0.0,0.116,0.685,0.767,0.854,0.005,0.709,0.561
35,FedDyn,0.3,44,0.4326,1.7708903289794922,"9,7,2",1.3243967516527508,16.280189275741577,0.0001666545867919922,0.009498119354248047,3.313281774520874,280214760.0,280214760.0,0.22108416,0.75,0.28,0.0,0.0,0.645,0.748,0.885,0.0,0.505,0.513
36,FedDyn,0.3,44,0.3863,2.0092025352478027,"9,7,4",1.0046245987543763,14.52928113937378,0.00015735626220703125,0.009261608123779297,2.908553202946981,288220896.0,288220896.0,0.22108416,0.348,0.058,0.0,0.012,0.61,0.911,0.787,0.025,0.445,0.667
37,FedDyn,0.3,44,0.379,2.2932122539520265,"8,9,7",1.1311006166722033,14.02364468574524,0.00019693374633789062,0.009110212326049805,2.8016483783721924,296227032.0,296227032.0,0.22108416,0.461,0.0,0.0,0.0,0.662,0.898,0.757,0.005,0.562,0.445
38,FedDyn,0.3,44,0.3628,2.806188703918457,"2,9,0",1.7574369841506348,17.766462802886963,0.00015306472778320312,0.00926828384399414,3.6712304751078286,304233168.0,304233168.0,0.22108416,0.679,0.0,0.0,0.0,0.0,0.883,0.851,0.696,0.519,0.0
39,FedDyn,0.3,44,0.2719,2.792410707473755,"1,9,8",2.099533141263193,14.800101280212402,0.00024008750915527344,0.009319543838500977,2.96881373723348,312239304.0,312239304.0,0.22108416,0.817,0.142,0.0,0.0,0.006,0.647,0.958,0.149,0.0,0.0
40,FedDyn,0.3,44,0.3534,2.5694077407836913,"5,8,0",2.5936088292967123,13.893577575683594,0.0001842975616455078,0.009225845336914062,2.7699604829152427,320245440.0,320245440.0,0.22108416,0.0,0.0,0.511,0.015,0.0,0.449,0.88,0.851,0.828,0.0
41,FedDyn,0.3,44,0.3623,2.4814311096191406,"8,4,7",2.015196205898008,11.82917308807373,0.0001468658447265625,0.009529352188110352,2.3133060137430825,328251576.0,328251576.0,0.22108416,0.0,0.026,0.0,0.652,0.865,0.0,0.666,0.0,0.673,0.741
42,FedDyn,0.3,44,0.3229,2.1512212493896485,"2,8,3",2.0784422029918583,16.01499605178833,0.00014638900756835938,0.00925588607788086,3.242944081624349,336257712.0,336257712.0,0.22108416,0.834,0.0,0.309,0.411,0.006,0.001,0.072,0.08,0.73,0.786
