round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,FedAvg,0.5,42,0.1199,2.2901542823791505,"8,1,5",1.0205022080816495,16.198915004730225,0.00013327598571777344,0.009534835815429688,3.0370798110961914,8006136.0,8006136.0,0.215689216,0.019,0.0,0.0,0.0,0.982,0.0,0.0,0.0,0.198,0.0
2,FedAvg,0.5,42,0.1636,2.120440028381348,"0,1,8",0.8722840185192035,15.65562629699707,0.00031757354736328125,0.009622812271118164,2.8786629835764566,16012272.0,16012272.0,0.218367488,0.375,0.033,0.0,0.0,0.958,0.0,0.008,0.0,0.176,0.086
3,FedAvg,0.5,42,0.2817,2.012961841392517,"9,2,0",1.0305794501767365,17.842076063156128,0.0002155303955078125,0.010632038116455078,3.3762714862823486,24018408.0,24018408.0,0.218367488,0.066,0.0,0.658,0.576,0.0,0.0,0.0,0.0,0.769,0.748
4,FedAvg,0.5,42,0.2048,2.049371649169922,"8,1,5",1.075945378160151,17.41295289993286,0.00018835067749023438,0.009803295135498047,3.1944733460744223,32024544.0,32024544.0,0.215689216,0.687,0.148,0.0,0.001,0.935,0.0,0.184,0.0,0.069,0.024
5,FedAvg,0.5,42,0.2617,1.9350269943237304,"0,1,8",0.7323948581031763,16.076035499572754,0.00036835670471191406,0.010861873626708984,2.955617586771647,40030680.0,40030680.0,0.218367488,0.448,0.187,0.0,0.0,0.953,0.003,0.089,0.0,0.56,0.377
6,FedAvg,0.5,42,0.3087,1.9200417343139649,"9,2,0",0.9439027253767008,18.318172931671143,0.00026106834411621094,0.00988149642944336,3.441890319188436,48036816.0,48036816.0,0.218367488,0.195,0.0,0.597,0.782,0.0,0.002,0.0,0.007,0.849,0.655
7,FedAvg,0.5,42,0.3473,1.8235472766876222,"1,7,6",1.5550607160420613,20.68925642967224,0.00020432472229003906,0.009999990463256836,4.006272951761882,56042952.0,56042952.0,0.218367488,0.365,0.033,0.01,0.0,0.738,0.039,0.606,0.6,0.698,0.384
8,FedAvg,0.5,42,0.2834,1.9674653583526611,"1,5,4",1.05563625917485,19.42648220062256,0.00022482872009277344,0.010386943817138672,3.6560563246409097,64049088.0,64049088.0,0.218367488,0.632,0.024,0.847,0.001,0.001,0.135,0.21,0.001,0.605,0.378
9,FedAvg,0.5,42,0.3635,1.6612836053848266,"8,2,5",1.1745830042054897,13.685653448104858,0.0001850128173828125,0.010737180709838867,2.4730289777119956,72055224.0,72055224.0,0.218367488,0.491,0.86,0.039,0.369,0.789,0.389,0.324,0.0,0.33,0.044
10,FedAvg,0.5,42,0.346,1.6872318744659425,"0,5,2",0.7628591672066847,13.677659749984741,0.00033402442932128906,0.009467124938964844,2.4916563828786216,80061360.0,80061360.0,0.218367488,0.529,0.727,0.168,0.731,0.66,0.054,0.14,0.05,0.0,0.401
11,FedAvg,0.5,42,0.3648,1.7736066120147704,"4,8,1",0.8586636619804384,18.942872285842896,0.00024962425231933594,0.01002812385559082,3.590963443120321,88067496.0,88067496.0,0.218367488,0.483,0.04,0.425,0.0,0.175,0.316,0.849,0.096,0.884,0.38
12,FedAvg,0.5,42,0.3614,1.6721165885925293,"2,0,4",0.9427032973258312,15.95840573310852,0.0002646446228027344,0.010024309158325195,2.973115603129069,96073632.0,96073632.0,0.218367488,0.552,0.0,0.638,0.0,0.033,0.746,0.336,0.1,0.316,0.893
