round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,FedDyn,0.3,43,0.2302,2.1987873569488525,"3,9,6",1.455560984792087,20.537277221679688,9.012222290039062e-05,0.009254693984985352,4.286813656489055,8006136.0,8006136.0,0.218405888,0.622,0.013,0.0,0.78,0.0,0.025,0.0,0.5,0.362,0.0
2,FedDyn,0.3,43,0.2034,2.3987486267089846,"8,5,1",1.1720853781268328,10.532671451568604,0.0001933574676513672,0.00920867919921875,1.9962751865386963,16012272.0,16012272.0,0.22108416,0.844,0.011,0.0,0.0,0.898,0.0,0.115,0.0,0.0,0.166
3,FedDyn,0.3,43,0.238,2.342380498504639,"8,7,1",1.6354805496469673,11.674659490585327,0.00017333030700683594,0.00922846794128418,2.2490475177764893,24018408.0,24018408.0,0.22108416,0.0,0.0,0.003,0.0,0.945,0.0,0.0,0.007,0.579,0.846
4,FedDyn,0.3,43,0.2895,1.919370792388916,"6,3,5",1.499216419533419,15.309078693389893,0.00021147727966308594,0.00922536849975586,3.082465966542562,32024544.0,32024544.0,0.22108416,0.74,0.063,0.58,0.0,0.44,0.001,0.37,0.002,0.0,0.699
5,FedDyn,0.3,43,0.2521,2.2127162841796877,"2,6,0",1.1546662030162451,13.683695077896118,0.00015306472778320312,0.009043693542480469,2.7273269494374595,40030680.0,40030680.0,0.22108416,0.0,0.499,0.0,0.042,0.0,0.074,0.997,0.0,0.562,0.347
6,FedDyn,0.3,43,0.3062,1.9145202318191528,"5,7,9",1.5951632452737858,22.99308133125305,0.00015282630920410156,0.009352684020996094,4.833611885706584,48036816.0,48036816.0,0.22108416,0.863,0.476,0.0,0.188,0.824,0.0,0.0,0.444,0.061,0.206
7,FedDyn,0.3,43,0.3186,1.806888130569458,"6,4,1",1.3279213978181375,10.330236673355103,0.0001518726348876953,0.00879216194152832,1.951761245727539,56042952.0,56042952.0,0.22108416,0.103,0.904,0.007,0.007,0.756,0.756,0.107,0.053,0.483,0.01
8,FedDyn,0.3,43,0.2921,2.2482553226470947,"1,0,8",0.8498200389270764,8.479778528213501,0.000152587890625,0.012973308563232422,1.535532792409261,64049088.0,64049088.0,0.22108416,0.0,0.964,0.477,0.0,0.0,0.274,0.914,0.079,0.213,0.0
9,FedDyn,0.3,43,0.3488,1.8655276454925538,"2,7,0",1.32529012471536,16.528829097747803,0.00016808509826660156,0.009125232696533203,3.381904125213623,72055224.0,72055224.0,0.22108416,0.0,0.0,0.0,0.016,0.84,0.304,0.379,0.301,0.885,0.763
10,FedDyn,0.3,43,0.3448,1.8715158004760741,"9,3,8",1.3796442135485336,18.86398458480835,0.0001506805419921875,0.009034872055053711,3.9052554766337075,80061360.0,80061360.0,0.22108416,0.64,0.764,0.023,0.316,0.0,0.297,0.002,0.896,0.51,0.0
