round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,EAHM-FL,0.3,46,0.1115,2.4348757301330566,"7,0,1",1.3704901761912358,15.955811023712158,7.319450378417969e-05,0.008428096771240234,3.0790421962738037,8006136.0,8006136.0,0.215689216,0.0,0.0,0.997,0.0,0.0,0.028,0.0,0.0,0.078,0.012
2,EAHM-FL,0.3,46,0.2272,2.2263840450286865,"1,6,5",1.8623518967838022,10.849847316741943,0.00017142295837402344,0.008848190307617188,1.966362476348877,16012272.0,16012272.0,0.218367488,0.239,0.1,0.0,0.0,0.0,0.0,0.983,0.062,0.798,0.09
3,EAHM-FL,0.3,46,0.2464,2.4412765129089355,"3,1,8",1.2849891734846903,11.41945743560791,0.00010728836059570312,0.00935220718383789,2.109979232152303,24018408.0,24018408.0,0.218367488,0.479,0.027,0.0,0.0,0.77,0.724,0.0,0.155,0.297,0.012
4,EAHM-FL,0.3,46,0.2845,2.0848898641586304,"3,2,7",1.540572538014798,10.427118301391602,0.00011324882507324219,0.008487701416015625,1.8652290503184001,32024544.0,32024544.0,0.218367488,0.202,0.909,0.619,0.59,0.0,0.019,0.0,0.41,0.096,0.0
5,EAHM-FL,0.3,46,0.2451,2.0065907947540285,"7,4,9",0.5904262228986898,15.482288360595703,0.00017452239990234375,0.009093046188354492,2.9846866130828857,40030680.0,40030680.0,0.218367488,0.641,0.0,0.399,0.507,0.591,0.0,0.141,0.02,0.0,0.152
6,EAHM-FL,0.3,46,0.3384,1.908263557434082,"5,7,1",1.4063688648727102,12.79724645614624,0.00010538101196289062,0.009783029556274414,2.3937226136525473,48036816.0,48036816.0,0.218367488,0.439,0.765,0.004,0.768,0.0,0.0,0.568,0.721,0.119,0.0
7,EAHM-FL,0.3,46,0.3535,1.8299861505508423,"5,1,7",0.6755067799294118,12.82900857925415,8.225440979003906e-05,0.010209083557128906,2.4158554871877036,56042952.0,56042952.0,0.218367488,0.523,0.709,0.019,0.527,0.0,0.013,0.776,0.748,0.17,0.05
8,EAHM-FL,0.3,46,0.3312,2.091765488052368,"8,7,1",0.9016478777878748,13.723510026931763,0.00016069412231445312,0.010315656661987305,2.605690876642863,64049088.0,64049088.0,0.218367488,0.168,0.448,0.0,0.0,0.38,0.889,0.002,0.702,0.723,0.0
9,EAHM-FL,0.3,46,0.3651,1.789457883834839,"8,7,1",0.9452966469340714,13.785587787628174,8.058547973632812e-05,0.010665178298950195,2.607168674468994,72055224.0,72055224.0,0.218367488,0.17,0.682,0.0,0.379,0.147,0.723,0.331,0.667,0.552,0.0
10,EAHM-FL,0.3,46,0.3978,1.6008811485290528,"6,7,1",0.9334758718935205,10.869522333145142,0.00025081634521484375,0.010898828506469727,1.9752801259358723,80061360.0,80061360.0,0.218367488,0.045,0.655,0.211,0.161,0.019,0.611,0.813,0.687,0.761,0.015
