round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,FedDyn,0.1,42,0.1698,2.2769242576599122,"8,1,5",1.6070778431101786,22.498549461364746,7.987022399902344e-05,0.009089231491088867,4.741388241449992,8006136.0,8006136.0,0.218405888,0.0,0.001,0.041,0.0,0.039,0.0,0.981,0.0,0.635,0.001
2,FedDyn,0.1,42,0.176,2.1828835708618164,"0,1,8",1.272196052047389,27.008461236953735,0.00014209747314453125,0.008898735046386719,5.741633653640747,16012272.0,16012272.0,0.22108416,0.0,0.012,0.855,0.192,0.037,0.0,0.044,0.0,0.221,0.399
3,FedDyn,0.1,42,0.2688,2.84652047996521,"9,2,0",1.4175289727468876,15.45999550819397,0.00024008750915527344,0.009639739990234375,3.121283451716105,24018408.0,24018408.0,0.22108416,0.0,0.0,0.651,0.745,0.0,0.0,0.0,0.423,0.0,0.869
4,FedDyn,0.1,42,0.133,2.2630762214660645,"1,7,6",2.7298627528854382,15.966453075408936,0.00015497207641601562,0.009318351745605469,3.2145193417867026,32024544.0,32024544.0,0.22108416,0.0,0.001,0.0,0.282,0.964,0.0,0.031,0.0,0.051,0.001
5,FedDyn,0.1,42,0.205,2.7902150947570803,"1,5,4",1.7177653353396236,17.949515342712402,0.00016021728515625,0.009332418441772461,3.706207752227783,40030680.0,40030680.0,0.22108416,0.011,0.0,0.0,0.057,0.896,0.0,0.178,0.0,0.908,0.0
6,FedDyn,0.1,42,0.2953,2.456437171936035,"8,2,5",1.6854913852597777,18.75991201400757,0.0002205371856689453,0.009132146835327148,3.8555877208709717,48036816.0,48036816.0,0.22108416,0.0,0.887,0.802,0.0,0.0,0.081,0.697,0.0,0.378,0.108
7,FedDyn,0.1,42,0.2504,2.6526725826263426,"0,5,2",1.442263904127164,18.566020250320435,0.00018072128295898438,0.00954890251159668,3.8123642603556314,56042952.0,56042952.0,0.22108416,0.0,0.0,0.562,0.867,0.0,0.0,0.0,0.282,0.0,0.793
8,FedDyn,0.1,42,0.3334,1.9797245208740235,"4,8,1",2.945263332971154,22.551992177963257,0.00021338462829589844,0.009256124496459961,4.742729822794597,64049088.0,64049088.0,0.22108416,0.0,0.121,0.48,0.055,0.09,0.266,0.929,0.0,0.671,0.722
9,FedDyn,0.1,42,0.2729,2.4697340213775636,"2,0,4",1.8159164574256585,18.463332414627075,0.00016689300537109375,0.009046792984008789,3.8053596019744873,72055224.0,72055224.0,0.22108416,0.0,0.0,0.622,0.821,0.0,0.0,0.0,0.439,0.0,0.847
10,FedDyn,0.1,42,0.2404,2.3402203479766848,"4,2,7",2.2707350610811807,11.560769081115723,0.00015234947204589844,0.009848356246948242,2.2073864142100015,80061360.0,80061360.0,0.22108416,0.478,0.746,0.924,0.031,0.0,0.197,0.028,0.0,0.0,0.0
