round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,EAHM-FL-no_selection,1.0,44,0.2156,2.1597950950622558,"2,7,9",0.8487650690282053,13.809883832931519,6.890296936035156e-05,0.008287668228149414,2.6312550703684487,8006136.0,8006136.0,0.215689216,0.199,0.0,0.34,0.0,0.0,0.367,0.081,0.681,0.138,0.35
2,EAHM-FL-no_selection,1.0,44,0.2506,1.9713656398773194,"0,5,2",0.6054726105731189,15.032119274139404,0.00020694732666015625,0.009160518646240234,2.8642214934031167,16012272.0,16012272.0,0.218367488,0.001,0.0,0.459,0.0,0.364,0.405,0.604,0.113,0.033,0.527
3,EAHM-FL-no_selection,1.0,44,0.2917,1.8295080102920531,"2,7,8",0.5425197799876814,15.503364324569702,0.00010776519775390625,0.00908803939819336,2.9470271269480386,24018408.0,24018408.0,0.218367488,0.018,0.012,0.752,0.0,0.073,0.539,0.259,0.292,0.271,0.701
4,EAHM-FL-no_selection,1.0,44,0.3415,1.794184617614746,"9,7,6",0.5914289844676491,13.774340391159058,0.00011515617370605469,0.009174108505249023,2.5945472717285156,32024544.0,32024544.0,0.218367488,0.499,0.477,0.614,0.176,0.028,0.0,0.284,0.619,0.718,0.0
5,EAHM-FL-no_selection,1.0,44,0.3603,1.7056978485107421,"9,1,4",0.5850945915098258,11.046437740325928,0.00011086463928222656,0.010322809219360352,1.994246006011963,40030680.0,40030680.0,0.218367488,0.617,0.036,0.018,0.42,0.575,0.0,0.603,0.29,0.641,0.403
6,EAHM-FL-no_selection,1.0,44,0.3898,1.584507342147827,"3,0,6",0.47486905020211106,14.86203932762146,0.00011229515075683594,0.008981943130493164,2.823824405670166,48036816.0,48036816.0,0.218367488,0.341,0.709,0.041,0.453,0.789,0.0,0.232,0.454,0.823,0.056
7,EAHM-FL-no_selection,1.0,44,0.4412,1.4939946063995362,"6,5,3",0.3646622528923809,17.291557550430298,0.00016069412231445312,0.008497238159179688,3.336916208267212,56042952.0,56042952.0,0.218367488,0.302,0.208,0.562,0.0,0.019,0.629,0.751,0.6,0.766,0.575
8,EAHM-FL-no_selection,1.0,44,0.3827,1.5693570636749268,"0,1,8",0.5912351310706002,12.47000241279602,0.00012063980102539062,0.009755849838256836,2.306295315424601,64049088.0,64049088.0,0.218367488,0.067,0.109,0.197,0.756,0.648,0.008,0.425,0.258,0.531,0.828
9,EAHM-FL-no_selection,1.0,44,0.4808,1.3423848726272583,"9,2,6",0.446245964199216,15.075878381729126,0.0001347064971923828,0.010466814041137695,2.8625192642211914,72055224.0,72055224.0,0.218367488,0.586,0.818,0.461,0.546,0.123,0.0,0.722,0.703,0.585,0.264
10,EAHM-FL-no_selection,1.0,44,0.5149,1.2624411108016969,"6,2,9",0.2185594589274266,15.092599391937256,0.0001633167266845703,0.011127948760986328,2.8660809993743896,80061360.0,80061360.0,0.218367488,0.519,0.785,0.428,0.741,0.205,0.001,0.64,0.604,0.721,0.505
