round,algorithm,alpha,seed,test_acc,test_loss,selected,mean_contribution,round_time_s,sel_time_s,agg_time_s,mean_client_train_s,cum_up_bytes,cum_down_bytes,peak_gpu_gb,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,class6_acc,class7_acc,class8_acc,class9_acc
1,EAHM-FL,1.0,42,0.1199,2.2300301597595213,"8,1,5",0.774749394664492,14.410013914108276,7.653236389160156e-05,0.008701324462890625,2.74249005317688,8006136.0,8006136.0,0.215689216,0.078,0.0,0.079,0.003,0.0,0.022,0.996,0.0,0.005,0.016
2,EAHM-FL,1.0,42,0.2337,1.999016414642334,"0,1,8",0.7715230707752969,13.265260934829712,0.00011968612670898438,0.008755683898925781,2.4892388184865317,16012272.0,16012272.0,0.218367488,0.242,0.02,0.066,0.0,0.076,0.966,0.109,0.0,0.315,0.543
3,EAHM-FL,1.0,42,0.3023,1.780706608581543,"9,2,0",0.5113678384446153,15.178869724273682,0.00017023086547851562,0.008919239044189453,2.8810387452443442,24018408.0,24018408.0,0.218367488,0.424,0.483,0.033,0.0,0.815,0.542,0.004,0.118,0.579,0.025
4,EAHM-FL,1.0,42,0.3969,1.6682133487701416,"1,7,6",0.557549601759113,13.481708765029907,0.00011682510375976562,0.009558677673339844,2.5528928438822427,32024544.0,32024544.0,0.218367488,0.73,0.595,0.318,0.35,0.0,0.329,0.653,0.593,0.0,0.401
5,EAHM-FL,1.0,42,0.4034,1.581524840927124,"1,4,3",0.44043168750396183,12.926900863647461,0.00025081634521484375,0.009234189987182617,2.393587350845337,40030680.0,40030680.0,0.218367488,0.083,0.567,0.214,0.419,0.507,0.072,0.558,0.365,0.835,0.414
6,EAHM-FL,1.0,42,0.3928,1.557540739440918,"2,8,1",0.40397988402498847,15.007237911224365,9.942054748535156e-05,0.010398626327514648,2.8671855131785073,48036816.0,48036816.0,0.218367488,0.057,0.591,0.03,0.031,0.715,0.631,0.247,0.56,0.817,0.249
7,EAHM-FL,1.0,42,0.4568,1.48580707321167,"5,8,1",0.4216832475606554,14.362391233444214,8.821487426757812e-05,0.012969970703125,2.7361621061960855,56042952.0,56042952.0,0.218367488,0.233,0.538,0.352,0.345,0.0,0.615,0.705,0.386,0.722,0.672
8,EAHM-FL,1.0,42,0.4625,1.4376762886047363,"5,1,8",0.2679388309761392,14.109781980514526,0.0001895427703857422,0.010503292083740234,2.650782028834025,64049088.0,64049088.0,0.218367488,0.232,0.374,0.267,0.509,0.157,0.508,0.654,0.382,0.816,0.726
9,EAHM-FL,1.0,42,0.4514,1.4252793228149414,"2,1,8",0.31647790386806607,14.95484972000122,8.296966552734375e-05,0.009940624237060547,2.854053258895874,72055224.0,72055224.0,0.218367488,0.252,0.48,0.029,0.064,0.632,0.792,0.319,0.588,0.881,0.477
10,EAHM-FL,1.0,42,0.4746,1.3871629810333252,"8,1,2",0.22805896906120857,14.814547538757324,0.00021958351135253906,0.009876012802124023,2.8454352219899497,80061360.0,80061360.0,0.218367488,0.135,0.48,0.119,0.057,0.505,0.792,0.567,0.624,0.88,0.587
